"REF_DATE","GEO","DGUID","Level of study","Field of study","Sex","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015","Canada","2016A000011124","All levels of study","Visual and performing arts, and communications technologies [2]","Both sexes","Pursued further postsecondary education between graduation and time of interview","Percent","239","units","0","v1233934373","1.1.3.1.5","39","","","","0"
"2015","Canada","2016A000011124","All levels of study","Visual and performing arts, and communications technologies [2]","Males","Number of graduates","Number","223","units","0","v1233934374","1.1.3.2.1","6520","B","","","0"
"2015","Canada","2016A000011124","All levels of study","Visual and performing arts, and communications technologies [2]","Males","Average age at graduation","Years","308","units","0","v1233934375","1.1.3.2.2","25","A","","","0"
"2015","Canada","2016A000011124","All levels of study","Visual and performing arts, and communications technologies [2]","Males","Median age at graduation","Years","308","units","0","v1233934376","1.1.3.2.3","23","A","","","0"
"2015","Canada","2016A000011124","All levels of study","Visual and performing arts, and communications technologies [2]","Males","Under age 25 at graduation","Percent","239","units","0","v1233934377","1.1.3.2.4","61","","","","0"
"2015","Canada","2016A000011124","All levels of study","Visual and performing arts, and communications technologies [2]","Males","Pursued further postsecondary education between graduation and time of interview","Percent","239","units","0","v1233934378","1.1.3.2.5","39","","","","0"
"2015","Canada","2016A000011124","All levels of study","Visual and performing arts, and communications technologies [2]","Females","Number of graduates","Number","223","units","0","v1233934379","1.1.3.3.1","11600","B","","","0"
"2015","Canada","2016A000011124","All levels of study","Visual and performing arts, and communications technologies [2]","Females","Average age at graduation","Years","308","units","0","v1233934380","1.1.3.3.2","25","A","","","0"
"2015","Canada","2016A000011124","All levels of study","Visual and performing arts, and communications technologies [2]","Females","Median age at graduation","Years","308","units","0","v1233934381","1.1.3.3.3","22","A","","","0"
"2015","Canada","2016A000011124","All levels of study","Visual and performing arts, and communications technologies [2]","Females","Under age 25 at graduation","Percent","239","units","0","v1233934382","1.1.3.3.4","74","","","","0"
"2015","Canada","2016A000011124","All levels of study","Visual and performing arts, and communications technologies [2]","Females","Pursued further postsecondary education between graduation and time of interview","Percent","239","units","0","v1233934383","1.1.3.3.5","39","","","","0"
"2015","Canada","2016A000011124","All levels of study","Humanities [3]","Both sexes","Number of graduates","Number","223","units","0","v1233934384","1.1.4.1.1","19630","A","","","0"
"2015","Canada","2016A000011124","All levels of study","Humanities [3]","Both sexes","Average age at graduation","Years","308","units","0","v1233934385","1.1.4.1.2","27","A","","","0"
"2015","Canada","2016A000011124","All levels of study","Humanities [3]","Both sexes","Median age at graduation","Years","308","units","0","v1233934386","1.1.4.1.3","24","A","","","0"
"2015","Canada","2016A000011124","All levels of study","Humanities [3]","Both sexes","Under age 25 at graduation","Percent","239","units","0","v1233934387","1.1.4.1.4","57","","","","0"
"2015","Canada","2016A000011124","All levels of study","Humanities [3]","Both sexes","Pursued further postsecondary education between graduation and time of interview","Percent","239","units","0","v1233934388","1.1.4.1.5","60","","","","0"
"2015","Canada","2016A000011124","All levels of study","Humanities [3]","Males","Number of graduates","Number","223","units","0","v1233934389","1.1.4.2.1","7420","B","","","0"
